dataset,rho,sweep,value,n,mean_final_reputation_gap,bootstrap_95_ci_low,bootstrap_95_ci_high,bootstrap_seed
dog,3/10,K,1,20,0.13557398371829185,0.12906834138986004,0.142062989739636,7638979955032079080
dog,3/10,K,3,20,0.13557398371829185,0.12914486210668177,0.1420484992097045,15291298102332623206
dog,3/10,K,5,20,0.13557398371829185,0.12926082462132574,0.1420866891257833,937273840582042824
dog,3/10,K,20,20,0.13557398371829185,0.1291031643884662,0.14204229978925814,6068832440426023464
dog,3/10,K,30,20,0.13557398371829185,0.1290481078442505,0.14192149676254795,6220363627352182863
dog,3/10,lambda_tau,1/20,20,0.1485202965509869,0.14036617091083156,0.15658122409831743,8167764201682574797
dog,3/10,lambda_tau,1/10,20,0.1439648890864642,0.1366225219260669,0.15155414961264096,15246087183143300847
dog,3/10,lambda_tau,2/5,20,0.12123182728846578,0.11643393727502786,0.12586256165957713,3937667175510420579
dog,3/10,lambda_tau,4/5,20,0.09966202627544764,0.09698788170676277,0.10231191128676717,12917540835107411625
dog,3/10,kappa,1,20,0.1607528300912253,0.1554281134444585,0.16587881508888558,14367174169655255805
dog,3/10,kappa,4,20,0.11236100900455509,0.10412251087684954,0.120920869552798,6558675320980420333
dog,3/10,calibration_period,10,20,0.19266311221990534,0.1864778557552832,0.19937202772286752,560393633717658932
dog,3/10,calibration_period,20,20,0.13557398371829185,0.12910409586283816,0.1419075416798722,3052754876528548130
dog,3/10,calibration_period,40,20,0.12288888807407296,0.11781975888047609,0.12823446858376714,2601610524832097817
dog,7/10,K,1,20,0.13224769797030683,0.12880890031504344,0.13573510145377804,14696274029674500207
dog,7/10,K,3,20,0.13224769797030683,0.1289812742954126,0.13557513013532582,15667760217311135373
dog,7/10,K,5,20,0.13224769797030683,0.12887257048158982,0.13566485452116328,9020781108267452397
dog,7/10,K,20,20,0.13224769797030683,0.12884115627683362,0.13570529887348495,13686133424783524619
dog,7/10,K,30,20,0.13224769797030683,0.12891890679672952,0.1356662033826332,15773914597100929636
dog,7/10,lambda_tau,1/20,20,0.14460129359031537,0.14046295283594012,0.14868266394665788,14070715307854564662
dog,7/10,lambda_tau,1/10,20,0.14025741937751537,0.13646608946988528,0.14413323126058608,7370079212148665923
dog,7/10,lambda_tau,2/5,20,0.11853551939518851,0.11536194233180519,0.12177521714972193,11709448493408316979
dog,7/10,lambda_tau,4/5,20,0.09787307822902992,0.093974503459752,0.101667485975292,4703972895866349843
dog,7/10,kappa,1,20,0.15762406911762686,0.15184986232918937,0.16334195626010709,10616281713578101423
dog,7/10,kappa,4,20,0.10904872730077822,0.10414648639807096,0.11363641177507523,12319368326882499876
dog,7/10,calibration_period,10,20,0.1878566063048242,0.1828783774965585,0.19320070025753985,10238675620317198466
dog,7/10,calibration_period,20,20,0.13224769797030683,0.1288952979233137,0.13567328860254463,13722111386516802194
dog,7/10,calibration_period,40,20,0.12182219387807547,0.118264932227646,0.12520463344218125,5969870745263288885
